"ID","TpCO2","Ttemp","Infect","BoredStart","BW2_L","BW2_W","BW2_Wt","CalcDay","EPFpHTotal","EPFSal","EPFDIC","EPFpCO2","EPFCO3","WW","DW","BW2_DW"
19013,2800,23,"N",0,41,21,3.028,-0.002011494,NA,NA,NA,NA,NA,0.23,0.04,5.393928378
19041,2800,23,"N",0,68,33,10.447,-0.006603448,6.93361099,32.45433333,3653.052136,7881.225964,38.76912472,1.348666667,0.144666667,17.4237419
19076,400,23,"S",0.71403239,55,43,10.83,-0.000916667,7.398937659,30.371,4311.500793,3236.393686,128.6983637,1.340666667,0.192333333,18.0447715
19086,400,23,"N",0,60,35,8.763,-6.17e-05,7.630519477,32.92433333,3275.551017,1357.335586,179.3343969,0.720333333,0.096333333,14.69315746
19092,400,23,"S",0.194174283,52,36,7.699,-0.0012,6.706145913,33.84433333,4551.735115,15557.71414,28.46044568,1.173333333,0.161666667,12.96789508
19103,400,23,"N",0,45,27,3.509,-0.000524691,7.090512385,34.75766667,2338.633165,3406.062028,38.69402341,0.374333333,0.060333333,6.17386372
19158,2800,23,"S",0.368394174,61,35,9.155,-0.00471345,7.032521879,26.661,4862.215493,8818.965097,53.00217599,1.624333333,0.251333333,15.32878044
19197,2800,23,"N",0,56,25,5.556,-0.003641026,6.995831824,32.451,7094.98174,13189.64298,87.09962504,0.461666667,0.071666667,9.493048015
19227,2800,23,"N",0,61,45,15.45,-0.00541954,7.003923525,32.65766667,4178.654372,7701.415832,52.96158518,0.755333333,0.105,25.53604236
19254,2800,23,"S",0.351835367,68,41,16.296,-0.007380117,6.676371635,32.79433333,5381.193634,19546.84848,29.94917852,1.742333333,0.262,26.90782053
19264,400,23,"N",0,79,37,21.995,-0.000462963,NA,NA,NA,NA,NA,1.773666667,0.261666667,36.14867607
19274,2800,23,"S",0.358123926,74,33,11.964,-0.008005848,6.77404124,29.85433333,4622.55567,14113.28466,29.82701151,0.773,0.129333333,19.88353798
19304,2800,23,"S",0.262157643,47,27,6.48,-0.00425731,NA,NA,NA,NA,NA,0.694333333,0.109333333,10.99130219
19370,400,23,"N",0,65,35,19.944,-0.000703704,7.048634974,33.391,5452.737509,8861.220435,78.17393798,2.227333333,0.299666667,32.82300583
19378,400,23,"S",0.500479805,55,34,9.824,4.44e-05,7.400558427,32.981,4271.419794,3112.496984,139.263386,0.743,0.091666667,16.41355538
19388,2800,23,"N",0,64,40,12.486,-0.005237179,NA,NA,NA,NA,NA,0.666,0.102666667,20.7299543
19441,2800,23,"N",0,71,43,16.22,-0.008025641,7.166195213,31.85433333,4749.796626,6051.1591,86.18499505,1.899333333,0.238666667,26.7845875
19467,2800,23,"S",0.534267712,53,26,5.608,-0.003409357,6.516153714,32.82433333,4954.811029,24861.95928,18.19017435,0.611,0.103666667,9.57736535
19472,2800,23,"S",0.322372032,49,32,6.479,-0.004210526,6.708140931,32.32766667,4032.268251,13772.64451,23.96466531,0.68,0.085333333,10.9896807
19516,400,23,"N",0,70,39,11.008,-0.000469136,7.279090842,32.291,3738.378465,3601.832155,89.54052898,1.677666667,0.192333333,18.33339622
19536,2800,23,"N",0,69,36,16.479,-0.006597701,7.158744656,32.70766667,2732.523711,3538.891257,50.23763991,0.946666667,0.139,27.20455268
19549,2800,23,"S",0.535399164,62,31,8.145,-0.004912281,6.715693262,32.95433333,5559.987113,18580.62418,34.38336592,0.905666667,0.139666667,13.69107837
19637,400,23,"S",0.492627184,53,40,6.444,-0.000366667,7.434943899,30.84433333,3072.73658,2105.471736,101.247412,0.513,0.066,10.93292865
19642,400,23,"N",0,56,29,8.626,-6.17e-05,7.070589541,31.41433333,4205.747152,6650.483168,59.66805802,0.873666667,0.123666667,14.47101371
19650,400,23,"S",0.470498517,68,30,10.352,-0.000277778,7.091359034,33.01766667,6557.907709,9746.343391,103.1163474,0.713,0.103,17.26970062
